"1";"강길부";"울산광역시";"자유한국당";"울주군";"지역구 국회의원"
"2";"강병원";"서울특별시";"더불어민주당";"은평구 을";"지역구 국회의원"
"3";"강석진";"경상남도";"자유한국당";"산청군/함양군/거창군/합천군";"지역구 국회의원"
"4";"강석호";"경상북도";"자유한국당";"영양군/영덕군/봉화군/울진군";"지역구 국회의원"
"5";"강창일";"제주특별자치도";"더불어민주당";"제주시 갑";"지역구 국회의원"
"6";"강효상";;"자유한국당";;"비례대표 국회의원"
"7";"강훈식";"충청남도";"더불어민주당";"아산시 을";"지역구 국회의원"
"8";"경대수";"충청북도";"자유한국당";"증평군/진천군/음성군";"지역구 국회의원"
"9";"고용진";"서울특별시";"더불어민주당";"노원구 갑";"지역구 국회의원"
"10";"곽대훈";"대구광역시";"자유한국당";"달서구 갑";"지역구 국회의원"
"11";"곽상도";"대구광역시";"자유한국당";"중구/남구";"지역구 국회의원"
"12";"권미혁";;"더불어민주당";;"비례대표 국회의원"
"13";"권석창";"충청북도";"자유한국당";"제천시/단양군";"지역구 국회의원"
"14";"권성동";"강원도";"자유한국당";"강릉시";"지역구 국회의원"
"15";"권은희";"광주광역시";"바른미래당";"광산구 을";"지역구 국회의원"
"16";"권칠승";"경기도";"더불어민주당";"화성시 병";"지역구 국회의원"
"17";"금태섭";"서울특별시";"더불어민주당";"강서구 갑";"지역구 국회의원"
"18";"기동민";"서울특별시";"더불어민주당";"성북구 을";"지역구 국회의원"
"19";"김경수";"경상남도";"더불어민주당";"김해시 을";"지역구 국회의원"
"20";"김경진";"광주광역시";"민주평화당";"북구 갑";"지역구 국회의원"
"21";"김경협";"경기도";"더불어민주당";"부천시 원미구 갑";"지역구 국회의원"
"22";"김관영";"전라북도";"바른미래당";"군산시";"지역구 국회의원"
"23";"김광림";"경상북도";"자유한국당";"안동시";"지역구 국회의원"
"24";"김광수";"전라북도";"민주평화당";"전주시 갑";"지역구 국회의원"
"25";"김규환";;"자유한국당";;"비례대표 국회의원"
"26";"김기선";"강원도";"자유한국당";"원주시 갑";"지역구 국회의원"
"27";"김도읍";"부산광역시";"자유한국당";"북구/강서구 을";"지역구 국회의원"
"28";"김동철";"광주광역시";"바른미래당";"광산구 갑";"지역구 국회의원"
"29";"김두관";"경기도";"더불어민주당";"김포시 갑";"지역구 국회의원"
"30";"김명연";"경기도";"자유한국당";"안산시 단원구 갑";"지역구 국회의원"
"31";"김무성";"부산광역시";"자유한국당";"중구 영도구";"지역구 국회의원"
"32";"김민기";"경기도";"더불어민주당";"용인시 을";"지역구 국회의원"
"33";"김병관";"경기도";"더불어민주당";"성남시 분당구 갑";"지역구 국회의원"
"34";"김병기";"서울특별시";"더불어민주당";"동작구 갑";"지역구 국회의원"
"35";"김병욱";"경기도";"더불어민주당";"성남시 분당구 을";"지역구 국회의원"
"36";"김부겸";"대구광역시";"더불어민주당";"수성구 갑";"지역구 국회의원"
"37";"김삼화";;"바른미래당";;"비례대표 국회의원"
"38";"김상훈";"대구광역시";"자유한국당";"서구";"지역구 국회의원"
"39";"김상희";"경기도";"더불어민주당";"부천시 소사구";"지역구 국회의원"
"40";"김석기";"경상북도";"자유한국당";"경주시";"지역구 국회의원"
"41";"김선동";"서울특별시";"자유한국당";"도봉구 을";"지역구 국회의원"
"42";"김성수";;"더불어민주당";;"비례대표 국회의원"
"43";"김성식";"서울특별시";"바른미래당";"관악구 갑";"지역구 국회의원"
"44";"김성원";"경기도";"자유한국당";"동두천시/연천군";"지역구 국회의원"
"45";"김성찬";"경상남도";"자유한국당";"창원시 진해구";"지역구 국회의원"
"46";"김성태";"서울특별시";"자유한국당";"강서구 을";"지역구 국회의원"
